ID,Embedding,Document,Metadata
65,"[-0.15748687  0.41668826  0.14346802 ... -0.35584137  0.10706966
 -0.11647413]","(7 U.S.C. §9032 (b); P.L. 118 -22) • Wheat, $3.72 per bushel,  
• Corn, $2.42 per bushel,  
• Grain sorghum, $2.42 per bushel,  
• Barley, $2.75 per bushel,  
• Oats, $2.20 per bushel,  
• Upland cotton, $0.55 per pound  
• Extra long staple cotton, $1.00 per pound  
• Long grain rice, $7.70 per hundredweight,  
• Medium grain rice, $7.70 per hundred weight,  
• Soybeans, $6.82 per bushel,  
• Other oilseeds, $11.10 per hundredweight,  
• Dry peas, $6.87 per hundredweight,  
• Lentils, $14.30 per hundredweight,  
• Small chickpeas, $11.00 per hundredweight,  
• Large chickpeas, $15.40 per hundredweight,  
• Graded wool, $1.60 pe r pound,  
• Nongraded wool, $0.55 per pound,  
• Mohair, $5.00 per pound,  
• Honey, $1.50 per pound, and  
• Peanuts, $390.00 per ton.  
(§1201(b)(2) and (3) ) 
Seed cotton . Sets the seed cotton loan rate at $0.25 
per pound for the purposes of the ARC and PLC 
programs. (7 U.S.C.  §9031(d)) Increases the seed cotton loan rate to $0.30 per pound 
and adds a new corn loan rate of $3.30 per bushel for 
the purposes of the ARC and PLC  programs. 
(§1201(b)(4) ) 
Loan repayment rates for upland cotton . 
Requires USDA to allow producers to repay upland 
cotton marketing assistance loans at the prevailing 
world market price when that value is less than the",
66,"[ 0.28153372  0.91544992 -0.12490647 ... -0.13989559  0.02041207
 -0.29991719]","Loan repayment rates for upland cotton . 
Requires USDA to allow producers to repay upland 
cotton marketing assistance loans at the prevailing 
world market price when that value is less than the 
upland cotton loan rate. (7 U.S.C.  §9034(b)) Adds an option for  producers to repay upland cotton 
marketing assistance loans at the prevailing world 
market price as determined by an alternative 
calculat ion. Requires USDA to reimburse cotton 
producers for any differences between loan repayment 
rates and the lowest prevailing world market price for 
30 days following the redemption of a cotton marketing 
assistance loan. (§1202) 
Loan repayment rates for ext ra long staple 
cotton. Requires loan repayment at the extra long 
staple cotton loan rate plus interest. This requirement 
prevents producers from collecting marketing loan 
gains for extra long staple cotton. (7 U.S.C.  
§9034(c)) Requires USDA to allow produc ers to repay extra long 
staple cotton marketing assistance loans at the 
prevailing world market price  when the value is less 
than the extra long staple cotton loan rate . This change 
allows extra long staple cotton to qualify for marketing 
loan gains if tri ggered by prevailing world market prices. 
(§1203(1))",
67,"[ 0.02464607  0.62463802  0.04409552 ...  0.05676923  0.16931392
 -0.50285059]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 30]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   26 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Prevailing world market price. Requires USDA to 
calculate a prevailing world market price for upland 
cotton. (7 U.S.C.  §9034(d)) Removes the requirement for USDA to calculate a 
prevailing world market p rice for upland cotton and 
requires USDA to calculate a prevailing world market 
price for extra long staple cotton . (§1203(2))  
Adjustment of prevailing world market price for 
upland cotton, long grain rice, and medium 
grain rice . Requires USDA to adjust p revailing world 
market prices for upland cotton and rice. (7 U.S.C.  
§9034(e)) Requires USDA also to adjust prevailing world market 
prices for extra long staple cotton. (§1203(3))  
Requires USDA to adjust prevailing world market 
prices for upland cotton and authorizes further 
adjustments until July 31, 2024. (7 U.S.C.  
§9034(e)(2)) Extends current law through July 31, 2030. (§1203(3))  
No comparable provision.  Extra long staple cotton . Requires USDA to adjust 
prevailing world market prices for extra long staple 
cotton and authorizes further adjustments until July 31, 
2030. (§1203(3))  
Payments for cotton storage . Authorizes USDA to 
make payments for cotton storage for crop years 2014 -
2024 at the rates used for the 2006 cotton crop 
reduced by 10% (i.e., $3.933 per bale per month in 
California and Arizona and $2.394 per bale per month 
in all other states). (7 U.S.C.  §9034(g); P.L. 118 -22) Authorizes USDA to make payments for cotton 
storage for crop years 2025 -2029 at rates of $4.90 per",
68,"[ 0.45203325  0.28447795  0.41656661 ... -0.16899699  0.2510252
  0.04446929]","storage for crop years 2025 -2029 at rates of $4.90 per 
bale per month in California and Arizona and $3.00 per 
bale per month in all other states. (§1204(3))  
Payments for textile mills.  Authorizes USDA to 
make monthly payments to U.S. textile mills of $0.03 
per pound of upland cotton used. (7 U.S.C.  
§9037(c)(2))  Authorizes monthly payments to U.S. textile mill s of 
$0.05 per pound of upland cotton used beginning 
August 1, 2024. (§1205) 
Subtitle C – Sugar  
Loan Rates . Sets the sugar loan rate at $0.1975 per 
pound for raw cane sugar and the refined beet sugar 
loan rate at 128.5% of the raw cane sugar rate, or 
$0.2538 per pound,  through crop year 2024. (7 U.S.C. 
§7272(a) and (b); P.L. 11 8-22) Sets the raw cane sugar loan rate at $0.24 per pound  
and the refined beet sugar loan rate at 136.55% of the 
raw cane sugar rate, or $0.3277 per pound , for crop 
years 2025 -2029.  (§1301) 
Commodity Credit Corporation  (CCC)  storage 
payments . Establish es storage rates for forfeited 
refined sugar at $0.15 per hundredweight (100 pounds ) 
and for forfeited raw cane sugar at $0. 10 per 
hundredweight. (7 U.S.C. §7287)  Extends current law through crop year 2024. For crop 
year 2025 and subsequent crop years, requires storage 
rates for forfeited sugar at not less than $0.34 per 
hundredweight per month for refined sugar and $0.27 
for raw cane sugar.  (§1302)  
Flexible marketing allotments. Establishes how the 
“overall  allotment quantity” is adjusted for processors 
of cane and beet sugar when allotments are increased",
69,"[ 0.18970071  0.08552597  0.18060352 ... -0.25112709 -0.28837359
 -0.12804449]","Flexible marketing allotments. Establishes how the 
“overall  allotment quantity” is adjusted for processors 
of cane and beet sugar when allotments are increased 
or decreased. (7 U.S.C. §1359cc(g)(2) ) Requires  USDA to prioritize sugar beet processors 
with available sugar when marketing allotments  are 
adjust ed higher.  (§1303(a))  
Reassignment of marketing allotments. 
Authorizes USDA to assess and reassign flexible 
marketing allotments  for sugar if processors are unable 
to market assigned allotments. (7 U.S.C.  
§1359ee(b)(2))  Amends the section to require that ini tial adjustments 
for sugar beet marketing allotments be based off the 
January World Agricultural Supply and Demand 
Estimates (WASDE) and that reassignment of 
allotments be announced within 30 days of the January 
WASDE release. (§1303(b))",
70,"[-0.14638571  0.03279402  0.13734749 ... -0.07551973  0.19875793
 -0.40597162]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 31]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   27 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Administration of  tariff -rate quotas (TRQs). 
Requires USDA to set TRQs for raw cane and refined 
sugar that comply with international agreements.  
(7 U.S.C. §1359kk)  Reallocation of T RQ shortfall.  Requires the U.S. 
Trade Representative (USTR), in consultation with 
USDA, to d etermine which countries do not intend to 
fill their sugar quotas and then reallocate the forecast 
shortfall. Requires USTR, in consultation with USDA, 
to determine no later than March 1 of the quota year  if 
there will be additional shortfall and reallocat e it to 
fulfill minimum TRQ commitments. Shortfall 
reallocation requirements do not apply if the 
Agreement Suspending the Countervailing Duty 
Investigation on Sugar from Mexico (September 2015) 
is terminated and the duty order revoked.  (§1304) 
No comparable provision.  Requires USDA to study whether additional terms and 
conditions for refined sugar imports are needed  and to 
provide Congress  a report on its findings within one 
year of enactment . Requires USDA to consult with the 
sugar industry, refin ed sugar users, and relevant state 
and federal agencies and  include in  the study the impact 
on the domestic sugar industry of issues addressed in 
the study. (§1304)  
No comparable provision.  Authorizes USDA to conduct rulemaking on additional 
terms and con ditions based on study findings, provided 
the agriculture committees are notified. Requires  that 
new regulations  do not adversely impact the domestic 
sugar industry and be  consistent with the sugar 
program (7 U.S.C. §7272) and obligations under 
internation al trade agreements approved by Congress. 
(§1304)  
Administration of TRQs. Requires USDA to set",
71,"[ 0.03184193  0.27078491  0.58457458 ... -0.33460823  0.0030674
 -0.11143861]","program (7 U.S.C. §7272) and obligations under 
internation al trade agreements approved by Congress. 
(§1304)  
Administration of TRQs. Requires USDA to set 
TRQs for raw cane sugar and refined sugar at the 
minimum level necessary to comply with obligations 
under international trade agreements that have been 
approved  by Congress . (7 U.S.C. §1359kk)  Requires that any quota adjustment occurring prior to 
April 1 be “for the sole purpose of responding directly 
to an” emergency shortage of sugar. (§1305)  
Period of Effectiveness. Authorizes flexible 
marketing allotments th rough FY2024. (7 U.S.C. 
§1359 ll; P.L. 118 -22)  No comparable provision.  
Subtitle D – Dairy  
Definitions. Defines production history  for the Dairy 
Margin Coverage (DMC) program that was established 
in the 2018 farm bill. (7 U.S.C. §9051(8))  Amends the definition of production history  by 
removing the consideration of production at the time 
the operation first participated in the DMC pro gram. 
(§1401(a))  
Production history of participating dairy 
operations.  Sets production history for the DMC  
program at the highest milk marketings in calendar year 
2011, 2012, or 2013. (7 U.S.C. §9055)  Sets production history for the DMC program as the 
highest milk marketings for participating dairies during 
calendar year 2021, 2022, or 2023.  (§1401 (b))",
72,"[ 0.15082724  0.42296898  0.50476623 ... -0.01819663  0.17800134
 -0.11090825]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 32]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   28 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Premiums for DMC . Sets the DMC Tier I premiums 
for the first 5,000,000 pounds of covered milk 
production history. Sets the DMC Tier II premiums for 
covered milk production history above 5,000,000 
pounds. Reduces the DMC premiums by 25% for 
producers who make a one -time DMC election 
covering calendar years 2019 -2023.  (7 U.S.C. 
§9057 (b), (c); P.L. 118 -22) Raises the covered production history to 6,000,000 
pounds for both Tier I and Tier II premiums.  Provides a 
25% premium discount for a one -time premium 
election covering calendar years 2025 -2029.  (§140 2) 
Mandatory reporti ng for dairy products. Requires 
USDA to establish a mandatory program for dairy 
product manufacturers to report price, quantity, and 
moisture content of sold products to USDA. (7 U.S.C. 
§1637b)  Requires manufacturers to report production costs and 
product yield information to USDA. Requires USDA to 
publish a report with cost and yield information not 
more than three years after enactment of the act and 
every two years thereafter . Section 1602(2) of the bill 
would provide $15 million in mandatory CCC funding  
to implement this provision.  (§140 3) 
Terms—milk and its products . Classifies  milk by its 
use and sets a minimum price for each classified use 
(Classes I, II, III, and IV) of milk that handlers pay 
producers or cooperatives in the Federal Milk 
Marketing O rders (FMMO) system. Sets the formula 
for calculating the Class I skim milk price for use in the 
FMMO system as the average of the Class III or Class",
73,"[-0.02732549  0.31908667  0.17692198 ...  0.06475307 -0.39327782
  0.0533885 ]","Marketing O rders (FMMO) system. Sets the formula 
for calculating the Class I skim milk price for use in the 
FMMO system as the average of the Class III or Class 
IV advanced pricing factors, plus $0.74. (7 U.S.C. 
§608c(5)(A))  Amends the Class I skim milk formula by replacing 
“average of” with the “higher of” the Class III or Class 
IV advanced pricing factors.  This change would remain 
in effect until any changes are made through the FMMO 
hearing process.  (§1404(a))  
Exempts implementation of the amendment fr om 
rulemaking and federal order hearing and referendum 
requirements generally applied to such changes. 
(§1404(b))  
Dairy Forward Pricing Program. Authorizes a 
dairy forward pricing program  that a pplies to only milk 
purchased for manufactured pro ducts (Clas ses II, III, 
and IV)  and excludes milk purchased for fluid 
consumption (Class I). Expires September 30, 20 24. 
(7 U.S.C.  §8772 ; P.L. 118 -22) Removes the program termination d ate. (§1405(a))  
Dairy Indemnity Program. Authorizes payments to 
dairy farmers when a public regulatory agency directs 
removal of raw milk from the market because of 
contamination by pesticides, nuclear radiation or 
fallout, or toxic substances and other c hemical 
residues. Expires September 30 , 2024. (7 U.S.C. 
§4553; P.L. 118 -22) Extends current law through September 30, 2029. 
(§1405(b))  
Dairy Promotion and Research Program. 
Authorizes  the National Dairy Promotion and Research 
Board to oversee a generic dairy product promotion  
and a  research and nutrition education program  (i.e., 
dairy checkoff) and  to spend funds to develop foreign 
market s for U.S. dairy products. Expires September 30,",
74,"[-0.09543189  0.18106058  0.02927961 ... -0.63311499  0.05035219
 -0.07141278]","and a  research and nutrition education program  (i.e., 
dairy checkoff) and  to spend funds to develop foreign 
market s for U.S. dairy products. Expires September 30, 
2024. (7 U.S.C.  §4504 (e)(2); P.L. 118 -22) Extends the foreign market authority until September 
30, 2029 . (§1405(c))",
75,"[-0.13481453  0.31730345 -0.07778423 ...  0.02139777  0.44677764
 -0.09243245]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 33]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   29 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Dairy reports.  Requires USDA to submit certain 
dairy reports to Congress. (7 U.S.C. §4514)  Removes old report ing requirements and requires 
USDA to submit to Congress annual reports on the 
activities of the dairy products promotion and research 
order, including an  accounting of fund receipts and 
disbursements of the Nation al Dairy Promotion and 
Research Board a s well as  an independent analysis of 
program effectiveness. Requires reports for  each 
calendar year after enactment to be submitted not 
more than 18 months a fter the last day of the calendar 
year. (§1406)  
Subtitle E – Supplemental Agricultural Disaster Assistance Programs  
Livestock Indemnity Program (LIP). LIP 
compensates producers at a rate of 75% of the market 
value for livestock  death, in excess of normal  mortality , 
or livestock sold at a loss caused by adverse weather , 
reintroduced animal attacks , or disease caused or 
transmitted by a vector and not controlled by 
vaccination or other acceptable management practices . 
Payment rate s are based on the market value of the 
affected livestock on the day before the date of death 
or the date of the event that caused harm and resulted 
in a reduced sale price. (7 U.S.C. §9081(b))  Increases the payment rate for losses caused by 
predation to 1 00% of the market value for livestock. 
Requires USDA to determine the market value in 
coordination with the Agricultural Marketing Service 
and other appropriate sources and on a quarterly basis. 
(§1501(a)(1)) 
No comparable provision.  Additional payment fo r unborn livestock . 
Expands LIP coverage to include unborn livestock (i.e., 
eligible livestock gestating at the time of death), except",
76,"[ 0.083204    0.05985742 -0.09260212 ...  0.13928059  0.69315708
 -0.34539124]","No comparable provision.  Additional payment fo r unborn livestock . 
Expands LIP coverage to include unborn livestock (i.e., 
eligible livestock gestating at the time of death), except 
poultry, at a rate of not more than 85% of the payment 
rate for the lowest weight class  for the specific kind of 
livestoc k. The LIP payment for unborn livestock is 
multiplied by 1 for cattle, bison, and horses; 2 for 
sheep; 12 for swine; and the average number of live 
births for all other livestock. Losses after January 1, 
2024, are eligible. (§1501(a)(2)) 
No comparable provision.  Determination of LIP l osses . Requires USDA to 
amend regulations and allow documentation of 
predation attack to qualify for payment. Directs USDA, 
through Farm Service Agency (FSA) state committees, 
to calculate normal mortality thresh olds for all eligible 
losses, except for losses from reintroduced animal 
attacks. (§1501(b)(1) & (b)(3))  
Livestock Forage Disaster Program (LFP) regulations 
require applications for payment to be submitted to 
FSA no later than 30 calendar days after the end of the 
calendar year in which grazing losses occurred. (7 
C.F.R. §1416.206(a))  Requires USDA to allow a pplications for an LFP 
payment to be submitted at least 90 days after the end 
of the calendar year in which the grazing loss occurred. 
(§1501(b)(2)) 
 
LIP regulations define non-adult cattle , including beef, 
beefalo, buffalo, bison, and dairy, as being del ineated by 
weight categories of either less than 400 pounds or 400 
pounds or more at the time of death or reduced sale. 
(7 C.F.R. §1416.302)  Codification of cattle weight classes . Requires 
USDA to determine LIP payments for cattle based on 
weight categorie s of either less than 400 pounds or 400 
pounds or more. Other cattle weight categories may",
77,"[ 0.2396334   0.08025096  0.3224192  ...  0.1251273   0.20197076
 -0.27382439]","USDA to determine LIP payments for cattle based on 
weight categorie s of either less than 400 pounds or 400 
pounds or more. Other cattle weight categories may 
be used but may be set only at an amount greater than 
400 pounds. (§1501(c))",
78,"[ 0.38968986  0.24133225 -0.49377552 ...  0.14783543  0.36953729
  0.08803325]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 34]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   30 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Emergency Assistance for Livestock, Honey 
Bees, and Farm -Raised Fish Program (ELAP).  
Requires USDA to make  payments to producers of 
livestock, honey bees, and farm -raised fish as 
compensation for losses due to disease, adverse 
weather,  feed or water shortages, or other conditions 
(such as wildfires) that are not covered under LIP or 
LFP. (7 U.S.C. §9081(d))  Requires  USDA to exclude honey  bee colony collapse 
disorder when determining the normal mortality rate 
for honey  bee colonies  under ELAP. (§1502) 
Tree Assistance Program (TAP) . TAP provides 
payments to eligible orchardists and nursery gro wers to 
replant or rehabilitate trees, bushes , and vines damaged 
by natural disasters. Eligible losses must exceed 15% 
after adjustment for normal mortality. Payments cover 
65% of the cost of replanting trees or nursery stock 
and 50% of the cost of rehabilitation (e.g., pruning and 
removal). (7 U.S.C. §9081(e))  Expands coverage to include bi ennial tree crops and 
losses due to pest infestations. Lowers the eligible loss 
threshold to the normal mortality and increases the 
reimbursement for the cost of rehabilitation to 65%.  
Requires TAP recipients to replant or rehabilitate tre es 
within 12 mont hs after the application approval or at a 
time necessary to ensure tree survival . When 
replanting, alternative varieties, stand densities, and 
locations may be used but no additional payments may 
be made for alternative selections. Requires USDA to 
approve  or deny and notify applicants within 120 days 
of application receipt. (§1503)",
79,"[ 0.1094168   0.1172069  -0.43180242 ... -0.68331993  0.29030368
  0.26752472]","locations may be used but no additional payments may 
be made for alternative selections. Requires USDA to 
approve  or deny and notify applicants within 120 days 
of application receipt. (§1503) 
No comparable provision.  Assistance in the form of block grants . Authorizes 
USDA to use block grants to administer supplemental 
ad hoc agricultural assistance for which assista nce is not 
already available . (§1504) 
Emergency Relief Program 2022 (ERP 2022) . 
ERP 2022 provided assistance in FY2023 for qualifying 
losses and natural disaster events in FY2022. Congress 
provided supplemental appropriations in the Disaster 
Relief Supplemental Appropriations Act, 2023. USDA 
implemented this funding through ERP 2022 . (P.L. 
117-328) Report on the Emergency Relief Program.  
Requires  the Government Accountability Office report 
to Congress within 180 days of enactment on the 
implementation and administration of USDA’s 
supplemental ad hoc ERP 2022. (Section  not 
specified)  
No comparable provision.  Avian predation of farm -raised fish.  Requir es 
USDA to report to Congress within 180 days of 
enactment on avian predation of farm -raised fish  in 
Alabama, Arkansas, Louisiana, Mississippi, and Texas . 
(Section  not specified)  
Subtitle F – Administration  
Suspension of permanent price support 
authority.  Suspends the permanent price support 
authority of the Agricultural Adjustment Act of 1938  
(P.L. 75 -430), as amended,  and the Agricultural 
Adjustment Act of 1949  (P.L. 89 -439), as amended,  for 
certain commodities  for the 2014 -2024 crop years and 
for milk through December 31, 20 24. (7 U.S.C. 
§9092 ; P.L. 118 -22) Extends the suspension of permanent price authority  
through crop year 2029 for commodities other than 
dairy and through December 31, 2029, for dairy.  
(§1601) 
Implementation. Provides terms for strea mlining the 
implementation of the farm commodity programs.",
80,"[ 0.00207173  0.27477616 -0.41161701 ... -0.00193563 -0.09182985
  0.186986  ]","dairy and through December 31, 2029, for dairy.  
(§1601) 
Implementation. Provides terms for strea mlining the 
implementation of the farm commodity programs.  
(7 U.S.C. §9097(b))  Requires USDA to allow producers to repay marketing 
assistance loan s during a lapse in appropriations  (a 
government shutdown) when USDA employees may be 
furloughed.  (§1602(1) )",
81,[0.56370485 0.31159768 0.23644727 ... 0.12590073 0.64286029 0.18118687],"[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 35]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   31 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Implementation funding. Provides $15.5 million of 
mandatory CCC funds to carry out the 2018 farm bill 
(P.L. 115 -334). (7 U.S.C. §9097(c)(4))  Provides $50 million of mandatory funds from the CCC  
to carry ou t the commodity and crop insurance  titles of 
the Farm, Food, and Nationa l Security Act of 2024 . Of 
these funds, $15 million are to  carry out the new dairy 
product processing costs surveys in §1403 , and $11 
million are for USDA to update and modernize 
technology . (§1602(2) ) 
Payment limit definitions.  Defines persons and legal 
entities  for the purpose of enforcing limits on total 
payments from certain farm support programs. 
(7 U.S.C. §1308(a))  Creates a new category of legal entity called a qualified 
pass through entity  defined to include certain 
partnerships and S corporations  (as defined by the 
Internal Revenue Code) and certain limited liability 
companies, joint ventures, and general partnerships. 
(§1603(a)(1))  
Payment limits.  Limits t otal ARC and PLC payments 
for all commodities excluding peanuts to $125,000  
excepting joint  ventures and general partnerships . For 
joint ventures and general partnerships, total ARC and 
PLC payments for all commodities excluding peanuts 
are limited to $125,000 multiplied by  the number of 
eligible persons or legal entities that own the joint 
ventures or general partnerships. Limits to tal ARC and 
PLC payments for peanuts to $125,000  excepting joint 
ventures and general partnerships . For joint ventures 
and general partnerships, total ARC and PLC payments 
for peanuts are limited to $125,000 times the  number",
82,"[ 0.80067784  0.58682328  0.22152987 ... -0.02859307  0.53516877
  0.30360213]","ventures and general partnerships . For joint ventures 
and general partnerships, total ARC and PLC payments 
for peanuts are limited to $125,000 times the  number 
of eligible persons or legal entities that own the joint 
ventures or general partnerships.  Limits for peanuts are 
separate and in addition to limits for all other 
commodities.  (7 U.S.C. §1308  (b), (c), (e))  Replaces exceptions for joint ventures an d general 
partnership s with exceptions for qualified pass  through 
entities . The new exception may allow some businesses 
previously limited to $125,000 to qualify for higher 
payment limits  for peanut payments and for payments 
for all commodities excluding peanuts . (§1603(a)(2)  
and (b) ) 
Exception for joint ventures and general 
partnerships. Provides limits for ARC and PLC 
payments for joint ventures and general partnerships. 
(7 U.S.C. §1308 (e)(3)(B)(ii))  Replaces joint ventures and general partnership  in the 
provision title  with “qualified pass  through entities .” 
(§1603 (b)(1) ) 
Commensurate reduction.  Requires reductions of 
payments or benefits from various commodity and 
conservation program s for legal entities, general 
partnerships, and joint ventures commensurate with 
the share of the business owned by persons whose 
average adjusted gross income (AGI) exceeds 
$900,000 . (7 U.S.C. §1308 -3a(d))  Removes requirement for commensurate reductions 
for general partnerships and joint ventures . This change 
may allow some general partnerships and joint ventures 
to qualify for  additional benefits from commodity and 
conservation programs. (§1603(c))  
Payment limits.  Limits t otal ARC and PLC payments 
for al l commodities excluding peanuts to $125,000  for 
persons and legal entities . Limits to tal ARC and PLC 
payments for peanuts to $125,000  for persons and legal 
entities . Limits for peanuts are separate and in addition",
83,"[ 0.60136795  0.75810367  0.16046226 ...  0.1456522   0.57788014
 -0.01515297]","persons and legal entities . Limits to tal ARC and PLC 
payments for peanuts to $125,000  for persons and legal 
entities . Limits for peanuts are separate and in addition 
to limits for all other commodities.  (7 U.S.C. §1308  
(b) and (c))  Adds an exception for persons and legal entities 
(except for qualified pass through entities) that derive 
at least 75% of their AGI from far ming, ranching, or 
silviculture activities as defined in the provision. Sets 
the payment limit for qualifying entities at $155,000 for 
the 2025 crop year. Requires USDA to adjust the 
$155,000 limit annually for inflation. (§1604) 
AGI limitations on commod ity and conservation 
programs.  Limits eligibility for various commodity and 
conservation programs to persons and legal entities 
whose AGI is not more than $900,000 . (7 U.S.C. 
§1308 -3a(b)) Adds an exception to the $900,000 limit for certain 
agricultural dis aster assistance and conservation 
programs for persons and legal entities that derive at 
least 75% of their AGI from farming, ranching, or 
silviculture activities. (§1605)",
84,"[ 0.40926021 -0.44295365  0.44184271 ... -0.17949408  0.44774637
 -0.14629304]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 36]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   32 Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Farm storage facility loans. Provides loans to 
producers to construct or upgrade st orage and 
handling facilities for  various commodities. (7 U.S.C. 
§8789(a) ) Adds authorization of loans for construction or 
upgrading of storage facilities for  propane that is 
primarily used for agricultural production . (§1606) 
No comparable prov ision.  Requires the President to prioritize the preservation 
and strengthening of domestic production when 
administering farm bill authorized programs for sugar. 
(§1607) 
Limitation on CCC authority. The Secretary of 
Agriculture has broad authority under §5 of the CCC 
Charter Act (P.L. 80 -89), as amended, to use CCC 
funding in fulfillment of its purpose. Authorities include 
the following: (a) support agricultural commodity prices 
through loans, purchas es, payments, and other 
operations; (b) make available materials and facilities 
required for production and marketing of commodities; 
(c) procure commodities for sale to government 
agencies, foreign governments, and domestic, foreign, 
or international reli ef or rehabilitation agencies and for 
domestic requirements; (d) remove and dispose of 
surplus commodities; (e) increase the domestic 
consumption of commodities by expanding markets or 
developing new and additional markets, marketing 
facilities, and uses f or commodities; (f) export, or cause 
to be exported, or aid in the development of foreign 
markets for commodities; and (g) carry out authorized 
conservation or environmental programs. (15 U.S.C. 
§714c)  Limits the Secretary’s authority to use CCC funding 
only for operations specifically authorized by Congress 
during FY2025 through FY2034. The limitation does 
not affect funds obligated prior to enactment. (§1608)",
85,"[-0.08088043  0.03727635  0.19560628 ... -0.29925478  0.18352085
  0.4577274 ]","only for operations specifically authorized by Congress 
during FY2025 through FY2034. The limitation does 
not affect funds obligated prior to enactment. (§1608)",
86,"[ 0.44525221  0.15387294 -0.16747934 ... -0.12468534 -0.30450752
 -0.04012729]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 37]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   33 T able 3. Title II, Conservation  
Current Law/Policy  H.R. 8467  as Ordered Reported by the 
Committee  
Subtitle A – Definitions   
Defines 27  terms for the purposes of all conservation 
programs within the Food Security Act of 1985 , as 
amen ded ( P.L. 99 -198). (16 U.S.C. §3801)  Adds definitions for precision agriculture  and precision 
agriculture technology .  
Defines p recision agriculture  as managing, tracking, or 
reducing inputs with a high level of precision to 
improve efficiency, reduce waste, and maintain 
environmental quality.  
Defines precision agriculture technology  as any 
technology that directly contributes to a reduction or 
improvem ent in input use . (§2001)  
Subtitle B – Conservation Reserve Program (CRP)  
No comparable provision. CRP provides financial 
compensation for landowners, through an annual rental 
rate, to voluntarily remove land from agricultural 
production for multiple yea rs to improve soil and water 
quality and wildlife habitat. Land eligibility, enrollment 
options, and eligible practices are defined throughout 
the program and its subprograms.  Definitions. Adds a new definitions section that 
applies to the entire program. Definitions of continuous 
enrollment option , eligible land , general enrollment option , 
grasslands enrollment option , and partnership initiatives 
enrollment option  refer to terms defined under other 
provisions of the program (discussed below ). Defines 
conse rvation buffer  as an established practice that 
benefits water quality (e.g., filter strip and riparian 
buffer). Defines  conservation reserve plan  to include all of 
the required practices and application requirements to 
be carried out under a CRP contract. Defines eligible 
partner  as a state or political subdivision thereof, Indian 
tribe, or nongovernmental organization. Defines land 
capability class  to refer to a soil classification system in",
87,"[ 0.11132483  0.46366209 -0.37389326 ...  0.10416207 -0.45403552
  0.04318718]","partner  as a state or political subdivision thereof, Indian 
tribe, or nongovernmental organization. Defines land 
capability class  to refer to a soil classification system in 
effect in 1985 upon original  enactment of the program. 
(§2101)  
Conservation reserve authority. Authorizes  CRP 
through FY20 24 to enter into contracts with  eligible 
landowners and operators to conserve and improve 
soil, water, and wildlife and to address state, regional, 
and national conservation initiatives. (16 U.S.C. 
§3831(a) ; P.L. 118 -22) Reauthorizes the program through FY2029 and 
requires USDA, as practicable, to carry out the 
program in every state. Amends the purpose of the 
program to use contracts to establish and maintain 
permanent cover. Adds “tribal” to the list of 
conservation initiatives required to be addressed. 
(§2102(a))  
Eligible land. Highly erodible cropland is considered 
eligible for enrollment in CRP if (1) untreated it could 
substantially reduce the land ’s future agricultural 
production capability , or (2) it cannot be farmed in 
accordance with a conservation plan and has a cropping 
history or was considered to be planted for four of the 
six years preceding December 20, 2018 (except for 
land previously enrolled in CRP). Eligible land also 
includes ma rginal pastureland, grasslands, cropland, and 
land that would have a positive impact on water quality . 
Land that is otherwise ineligible can be enrolled if 
remaining in production would contribute to 
environmental degradation or if that land could be 
devot ed to selected water quality and quantity 
improvement practices. (16 U.S.C. §3831(b))  Amends eligible land to include cropland based on a 
land capability classification system that ranks soils 
based on their production potential (Classes I -VIII). 
Eligible cropland may include not less than 85% dryland 
cropland with a land capability class of III or more or",
