ID,Embedding,Document,Metadata
34,"[-0.55853629  0.6745733   0.4778176  ...  0.32338426 -0.34847969
 -0.46014151]","[Extract from GAO_PDF_20241020_220257.pdf - Page 28]
 
     
Page 23 GAO -24-106732  Colonias Communities  the areas at risk were in the Gulf Coast area of Texas (see fig. 11).32 
About 126 colonias were in this area, according to our analysis.  
High winds from hurricanes can cause damage to property and 
infrastructure, and the storm surge from hurricanes can cause 
flooding. County officials in Texas noted that some colonias are built in low -lying areas that are particularly prone to flooding, and that 
these communities are especially vulnerable to natural hazards such as hurricanes. 
Figure 11: Risk of Storm Surge from a Hurricane in Areas with Colonias  
 
This figure represents areas at risk of exposure to hurricane storm surge. The National Oceanic and 
Atmospheric Administration’s Sea, Lake, and Overland Surges from Hurricanes model estimates storm surge heights resulting from various categories of hurricanes. The figure represents these estimates only for census tracts that we identified as containing one or more colonias. 
aAreas at risk of exposure to a storm surge from a Category 1, 4, or 5 hurricane. 
 
 
32Our analysis of National Oceanic and Atmospheric Administration storm surge data is 
based on a model that estimates the maximum extent of storm surge at high tide. The 
agency provides estimates of hurricane storm surge using a model called Sea, Lake, and 
Overland Surges from Hurricanes. This model includes hypothetical hurricanes under 
different storm conditions, such as landfall location, trajectory, and forward speed.",
35,"[ 0.19102323  0.45522618  0.21340421 ...  0.02971704  0.12873304
 -0.15320802]","[Extract from GAO_PDF_20241020_220257.pdf - Page 29]
 
     
Page 24 GAO -24-106732  Colonias Communities  Additionally, many colonias have certain socioeconomic characteristics —
such as a higher prevalence of poverty, unemployment, and low 
educational attainment—that may affect their ability to prepare for and 
respond to natural hazards.33 
For additional information on economic, housing, and environmental 
characteristics in areas with colonias in each state, see appendix II.  
 
  
 
   
Five federal programs provided targeted funding to colonias from fiscal years 2020 through 2023 for water, wastewater, and housing needs. The 
funds were provided to colonias via a dedicated funding set- aside, a 
funding preference, or both. As seen in table 1, these programs were 
HUD’ s CDBG and USDA ’s Water and Waste Facility Loans and Grants to 
Alleviate Health Risks; Individual Water and Wastewater Grants; Direct 
Home Loans; and Home Repair Loans and Grants. 
 
 
 
33The Centers for Disease Control and Prevention’ s Agency for Toxic Substances and 
Disease Registry uses the following 16 American Community Survey variables to 
determine a community ’s vulnerability to hazardous events: below 150 percent of the 
poverty level, unemployed, housing cost burden, no high school diploma, no health 
insurance, age 65 and older, age 17 and younger, civilian with a disability, single- parent 
households, English language proficiency, racial or ethnic minority status, multiunit 
structures, mobile homes, crowding, no vehicle, and group quarters.  Five Federal 
Programs Provide 
Assistance to Colonias; Two USDA 
Programs Have Data 
Reliability 
Weaknesses  
Five Programs Target 
Assistance to Colonias",
36,"[-0.18663093  0.28701073 -0.01471372 ... -0.14961512  0.07598014
  0.21512681]","[Extract from GAO_PDF_20241020_220257.pdf - Page 30]
 
     
Page 25 GAO -24-106732  Colonias Communities  Table 1: Federal Programs That Provide Targeted Assistance to Colonias  
Agency/program  Description  Requirements to assist 
colonias  Recipients of targeted 
assistance to colonias  
HUD     
Community Development Block 
Grant (CDBG) colonias set -
aside  Provides grants for projects in 
colonias, including those related 
to water, sewage, or housing 
needs.  The U.S. -Mexico border states 
must set aside up to 10 percent 
of their annual state CDBG 
allocation for projects in colonias .
a State governments, which 
disburse funds to local governments . 
USDA     
Water and Environmental Programs  
Water and Waste Facility Loans 
and Grants to Alleviate Health Risks  Provides grants and loans for 
water supply and waste disposal facilities and services that serve communities facing 
significant health risks due to 
inadequate water supply systems or waste disposal facilities.  Applicants serving colonias 
receive a preference for a loan or grant .
b  State and local governments, 
nonprofit organizations, and federally recognized Tribes  
Individual Water and 
Wastewater Grants  Provides grants to connect 
water supply and waste 
disposal systems to individual 
residences and install plumbing and related fixtures.  Applicants residing in colonia s 
receive a preference for a loan or grant .
c Individuals residing in colonias  
 
Single Family Housing Programs  
Direct Home Loans  Provides loans to acquire, build, 
repair, renovate, or relocate dwellings in eligible rural areas.  USDA must set aside 5 percent 
of annual lending authority for 
designated rural housing 
programs, giving priority to colonias .
d Eligible residents in colonias  
Home Repair Loans and Grants  Provides (1) loans to repair and 
rehabilitate a property and (2) grants to remove health and 
safety hazards or make the unit 
accessible.  USDA must set aside 5 percent",
37,"[-0.2014035   0.52135396  0.00595448 ... -0.16085601 -0.02121617
  0.00487403]","rehabilitate a property and (2) grants to remove health and 
safety hazards or make the unit 
accessible.  USDA must set aside 5 percent 
of annual lending authority for designated rural housing 
programs, giving priority to 
colonias .
e Eligible homeowners in colonias 
(loans) and eligible homeowners age 62 and older in colonias (grants)  
Source: GAO analysis of Department of Housing and Urban Development (HUD) and U.S. Department of Agriculture (USDA) informati on.  |  GAO- 24-106732  
a42 U.S.C. § 5306 note. Currently, Arizona, New Mexico, and Texas set aside 10 percent, while 
California sets aside 5 percent. 
b7 U.S.C. § 1926c(c)(1). According to USDA, annual appropriations for grants through the Water and 
Waste Facility Loans and Grants to Alleviate Health Risks program are also provided specifically to 
benefit colonias; accordingly, colonias have a dedicated grant funding source to benefit water and waste disposal projects. 
c7 U.S.C. § 1926c(c)(2). According to USDA, funds for Individual Water and Wastewater grants are 
transferred to and administered by Single Family Housing through the Home Repair Loan and Grants Program, and such funding is exclusively provided to households in eligible colonias. 
d42 U.S.C. § 1479(f)(4). 
e42 U.S.C. § 1479(f)(4).",
38,"[-0.35326254  0.44542271 -0.04284824 ... -0.20176987 -0.20492703
  0.15992929]","[Extract from GAO_PDF_20241020_220257.pdf - Page 31]
 
     
Page 26 GAO -24-106732  Colonias Communities  For information on other federal programs that may benefit colonias but 
do not provide targeted funding and for information on Congressionally 
Directed Funding or Community Project Funding to colonias, see appendix III. 
HUD provides annual allocations of CDBG funds to states for the purpose 
of assisting vulnerable communities.
34 Since fiscal year 1991, U.S.-
Mexico border states have been required to set aside up to 10 percent of 
their CDBG funding for activities that address the water, sewage, and 
housing needs of colonias.35 This funding is referred to as the CDBG 
colonias set -aside. From fiscal years 2020 through 2023 (the period of 
our review), Arizona, New Mexico, and Texas set aside 10 percent, and 
California set aside 5 percent, of state CDBG funding for colonias. Each 
state develops priorities for funding colonias and criteria for selecting 
grantees. See table 2 for obligations to projects in colonias for fiscal years 
2020 through 2023. 
Table 2: Annual Obligations to Projects in Colonias from HUD Community Development Block Grant Colonias Set -Aside, 
Fiscal Years 2020 –2023  
Program  Annual obligations  
2020  2021  2022  2023  
Community Development Block Grant colonias set -aside  $10,568,690  $10,739,032  $10,640,889  $10,546,966  
Source: GAO analysis of Department of Housing and Urban Development (HUD) data.   |  GAO -24-106732  
In all four border states, we visited projects that officials said were funded 
by the CDBG colonias set-aside. For example, in Arizona we observed 
rehabilitated single-family homes, sidewalks, streetlights, and water and wastewater infrastructure projects. In California, we observed a cooling 
center to help colonia residents take shelter from extreme temperatures. In New Mexico, we observed drainage and infrastructure repairs in a colonia (see fig. 12). Texas allocated a portion of its set-aside to fund",
39,"[-0.6302101   0.63179213 -0.02966046 ... -0.30383655 -0.39358947
  0.08079296]","center to help colonia residents take shelter from extreme temperatures. In New Mexico, we observed drainage and infrastructure repairs in a colonia (see fig. 12). Texas allocated a portion of its set-aside to fund 
 
34The CDBG colonias set -aside is part of the funding provided to states to distribute to 
nonentitlement areas. Nonentitlement areas are generally smaller communities that do not 
qualify as entitlement communities. Entitlement communities generally are principal cities of metropolitan statistical areas, other metropolitan cities with populations of at least 
50,000, and qualified urban counties with populations of 200,000 or more (excluding the 
populations of entitlement cities).  
35Cranston-Gonzalez National Affordable Housing Act, Pub. L. No. 101-625, § 916, 104 
Stat. 4079, 4396-4397 (1990) (codified as amended at 42 U.S.C. § 5306 note). For fiscal 
year 1991, the set -aside was 10 percent. For each succeeding fiscal year, the set -aside 
was a percentage, not to exceed 10 percent, as set by the Secretary of Housing and 
Urban Development.   CDBG Set -Aside",
40,"[ 0.05312799  0.46548793  0.02976524 ...  0.15843163 -0.01691541
  0.01219448]","[Extract from GAO_PDF_20241020_220257.pdf - Page 32]
 
     
Page 27 GAO -24-106732  Colonias Communities  Colonia Self-Help Centers, one of which we visited (see fig. 12).36 These 
centers provide colonia residents with assistance and education related to 
housing, community development activities, and infrastructure 
improvements. 
Figure 12: Projects in Arizona and Texas Funded with Community Development Block Grant (CDBG) Colonias Set -Aside 
Funds  
 
 
 
36Counties in Texas can also apply to use colonias set -aside funds for planning and 
construction in colonias.",
41,"[-0.14063543  0.41996372  0.03820346 ... -0.10835768  0.04386739
 -0.219028  ]","[Extract from GAO_PDF_20241020_220257.pdf - Page 33]
 
     
Page 28  GAO -24-106732  Colonias Communities  Two USDA programs offer loans and grants to assist low -income rural 
areas whose residents are experiencing a significant health risk due to 
limited access to adequate water and wastewater systems. For these 
programs, USDA is required to give preference to applicants residing in 
colonias or to entities providing designated services to the residents of 
colonias.37  
• Water and Waste Facility Loans and Grants to Alleviate Health Risks. Through this program, USDA provides loans and grants for 
potable water and waste disposal facilities that serve communities 
whose residents face significant health risks due to a lack of adequate 
affordable water supply systems or waste disposal facilities.  
According to USDA officials, these projects generally fix issues found 
in a water system, such as contamination, or after a water or 
wastewater system fails.  This program is administered by the Water 
and Environmental Programs office of the Rural Utili ties Service, 
within USDA’s Rural Development Agency.  
• Individual Water and Wastewater Grants. Through this program, 
USDA provides grants to homeowners residing in communities facing significant health risks due to a lack of adequate affordable water 
supply systems or waste disposal facilities.
38 These grants are to 
connect water supply and waste disposal systems to individual residences or to install plumbing and related fixtures that facilitate the 
use of these systems. According to USDA, only residents of a colonia 
are eligible for these grants . While this program is funded through 
USDA’s Water and Environmental Programs, agency officials 
indicated it is administered by USDA’s Single Family Housing’s Home 
Repair Loans and Grants program. 
 
37In 2009, we recommended that USDA revise its process for determining eligibility to 
ensure that the agency only provides Section 306C Water and Waste Disposal Loans and 
Grants program funds for projects that benefit colonias, as defined in federal statute,  and 
to revise its priority process to better target limited funds to those projects meeting 
statutory preference criteria. In July 2012, USDA fully implemented this recommendation",
42,"[ 0.05576411  0.30471936  0.30652833 ... -0.19112852  0.03172697
  0.12790744]","to revise its priority process to better target limited funds to those projects meeting 
statutory preference criteria. In July 2012, USDA fully implemented this recommendation 
by modifying its regulations to allow for additional priority points to projects serving areas 
with colonias that lack access to water or waste disposal systems and face significant 
health problems. GAO, Rural Water Infrastructure: Improved Coordination and Funding Processes Could Enhance Federal Efforts to Meet Needs in the U.S. -Mexico Border 
Region, GAO -10-126 (Washington. D.C.: Dec. 18, 2009).  
387 U.S.C. § 1926c(b)(1). See also 7 U.S.C. § 1926c(a)(1). According to USDA, annual 
appropriations for these grants are specifically for the purpose of supporting grants to 
colonias. Loans and grants may be made directly to individuals or to individuals via a 
designated entity, such as a rural water supply corporation. 7 U.S.C. § 1926c(b)(2). Furthermore, pursuant to 7 U.S.C. § 1926c(c), USDA must give preference to individuals 
who reside in colonias.   USDA ’s Water and 
Environmental Programs",
43,"[-0.13694654  0.16477305 -0.21170041 ... -0.19794498 -0.3380293
 -0.12059467]","[Extract from GAO_PDF_20241020_220257.pdf - Page 34]
 
     
Page 29 GAO -24-106732  Colonias Communities  See table 3 for obligations to projects in colonias for these programs for 
fiscal years 2020 through 2023. 
Table 3: Annual Obligations to Colonias and Residents for Selected USDA Water and Environmental Programs, Fiscal Years 
2020– 2023  
Program  Annual obligations  
2020  2021  2022  2023  
Water and Waste Facility Loans and Grants to Alleviate 
Health Risks   $27,330,790   $26,231,430   $32,895,461   $25,395,891  
Individual Water and Wastewater Grants   $89,735   $122,160   $131,635   $87,900  
Source: GAO analysis of U.S. Department of Agriculture (USDA) data.   |  GAO- 24-106732  
 
In all four border states, we visited projects that were funded by the Water and Environmental programs and serve colonias. For example, in 
Arizona, we visited a project that addressed contaminated water supplies 
and extended water services to colonias. In California, we visited a project that is installing a new water pipeline and pumps to meet the 
water needs of multiple communities. In New Mexico, we visited a water 
treatment facility  that removes arsenic contamination from a colonia’ s 
water supply (see fig. 13). In Texas, we visited a project to treat water and wastewater.",
44,"[ 0.02028614  0.53201562 -0.19611484 ...  0.02864569  0.07982217
 -0.3584832 ]","[Extract from GAO_PDF_20241020_220257.pdf - Page 35]
 
     
Page 30 GAO -24-106732  Colonias Communities  Figure 13: Project in New Mexico Funded by the U.S. Department of Agriculture ’s Water and Waste Facility Loans and Grants 
to Alleviate Health Risks Program  
 
 
To support underserved communities, including colonias, USDA is 
required to set aside 5 percent of its annual lending authority for certain 
rural housing programs, and colonias are to receive priority for these 
USDA ’s Single Family Housing 
Programs",
45,"[ 0.163571    0.2644408  -0.13944919 ... -0.26278877  0.21443799
  0.04727744]","[Extract from GAO_PDF_20241020_220257.pdf - Page 36]
 
     
Page 31  GAO -24-106732  Colonias Communities  funds.39 These programs are administered by USDA ’s Rural Housing 
Service, within its Rural Development Agency.  
• Direct Home Loans. Through this program, USDA provides loans to 
eligible homeowners to acquire, build, repair or renovate, or relocate 
homes in eligible rural areas.40 
• Home Repair Loans and Grants. Through this program, USDA 
provides loans to eligible very low -income homeowners to repair or 
improve their homes. In addition, this program provides grants to 
homeowners age 62 or older to remove health and safety hazards or 
to make the home accessible to household members with 
disabilities.41 
USDA estimated that it obligated about $103 million to projects in 
colonias from fiscal years 2020 through 2023 (see table 4). USDA 
provided estimates —rather than exact values —for these obligations 
because it did not have reliable information from its loan and grant 
origination system.42 (See below for discussion of data reliability issues 
for these programs.) To estimate obligations to projects in colonias, 
 
39This set -aside for targeted underserved areas applies to the USDA programs under 
sections 502, 504, 514, 515, and 524 of the Housing Act of 1949, 63 Stat. 434, as 
amended, according to USDA ’s interpretation of 42 U.S.C. § 1479(f)(4)(A). According to 
the statute, priority for set -aside funding will be given to any application for assistance that 
services the residents of a colonia and will be given in, or in close proximity to, these communiti es located in eligible states. 42 U.S.C. § 1479(f)(4)(B). According to USDA, the 
section 514, 515, and 524 programs did not award funding to colonias between fiscal 
years 2020 and 2023. The section 514 and 515 programs are administered by the Rural 
Housing Service’ s Multifamily Housing programs, and the section 524 program is",
46,"[-0.10779148 -0.28205258 -0.05139223 ... -0.65724838  0.13723277
  0.03096084]","years 2020 and 2023. The section 514 and 515 programs are administered by the Rural 
Housing Service’ s Multifamily Housing programs, and the section 524 program is 
administered by Single Family Housing programs. For more information on these 
programs see app. III.  
40USDA ’s Direct Home Loans program is also known as Single Family Direct Home 
Loans, the Section 502 Direct Loan Program, or Rural Home Loans. This program is 
authorized by section 502 of the Housing Act of 1949, 63 Stat. 434 (codified as amended 
at 42 U.S.C. § 1472), and is implemented by 7 C.F.R. pt. 3550.  
41USDA ’s Home Repair Loans and Grants is also known as Single Family Housing Repair 
Loans and Grants, or the Section 504 Home Repair program. This program is authorized 
by section 504 of the Housing Act of 1949, 63 Stat. 434 (codified as amended at 42 U.S.C. § 1474) , and is implemented by 7 C.F.R. pt. 3550.  
42USDA uses the same systems to originate its loans and grants for the Direct Home Loan 
and Home Repair Loan and Grant programs. USDA ’s Dedicated Loan Origination and 
Servicing System, or origination system, expedites loan-making, standardizes information 
collection and recordkeeping, and facilitates communication between field offices and the 
Servicing and Asset Management Office. The system  tracks loans from application 
through servicing using two interconnected systems: UniFi and LoanServ.",
47,"[ 0.03750065  0.38542107 -0.32835239 ... -0.20067714  0.07811615
 -0.09750252]","[Extract from GAO_PDF_20241020_220257.pdf - Page 37]
 
     
Page 32 GAO -24-106732  Colonias Communities  USDA digitally compared maps of areas where colonias are located with 
loan and grant recipient addresses.  
Table 4: Estimated Annual Obligations to Colonia Residents from Selected USDA Single Family Housing Programs, Fiscal 
Years 2020– 2023  
Program  Annual obligations  
2020  2021  2022  2023  
Direct Home Loans   $16,501,337   $19,657,745   $33,383,802   $25,723,481  
Home Repair Loans and Grants   $2,032,341   $1,662,298   $2,164,116   $2,125,919  
Source: GAO analysis of U.S. Department of Agriculture (USDA) data.   |  GAO- 24-106732  
 
We also visited colonias that received funding from USDA ’s Single Family 
Housing programs. For example, in Arizona, we observed a project where, according to officials, 10 lots will be redeveloped using USDA 
funds. We also viewed single-family homes that, according to officials, had received USDA assistance in Arizona and New Mexico (see fig. 14).",
48,"[ 0.48146164  0.49250597  0.13338338 ... -0.02010072  0.21103337
 -0.09797283]","[Extract from GAO_PDF_20241020_220257.pdf - Page 38]
 
     
Page 33 GAO -24-106732  Colonias Communities  Figure 14: Project in an Arizona Colonia Funded by the U.S. Department of Agriculture ’s Single Family Housing Programs  
 
To be eligible for targeted funding to colonias through HUD ’s and USDA ’s 
programs, a community must meet the definition of a colonia, as shown in 
table 5. Definitions of colonias vary between programs, but generally 
include criteria relating to location, population size of the surrounding area, infrastructure conditions, and the date of recognition as a colonia. In 
addition, applicants must meet agency standards and program 
qualifications to receive funding.
43 
 
 
43For example, to qualify for USDA Single Family Housing loans, applicants must be 
unable to obtain a loan from other sources, meet certain income requirements, and use 
the loan only on eligible properties.   
The Definition of a Colonia 
Differs among HUD and 
USDA Programs",
49,"[ 0.08735693  0.17426527  0.53589833 ... -0.25247592 -0.3331027
 -0.29124969]","[Extract from GAO_PDF_20241020_220257.pdf - Page 39]
 
     
Page 34 GAO -24-106732  Colonias Communities  Table 5: Definitions of Colonias for Programs with Colonia s-Targeted Funding  
Community  
requirements  Description  HUD Community 
Development Block 
Grants colonias set -
aside  USDA  
Water and 
Environmental 
programs  Single Family 
Housing  
Location  Within 150 miles of the United States 
and Mexico border and in Arizona, 
California, New Mexico, or Texas   a  
Within a metropolitan statistical area 
with a population of 1 million or less   —  
Infrastructure conditionsb Lack of potable water systems, 
adequate sewage systems, and safe and sanitary housing     
Lack of adequate roads and drainage  —  — 
Official designation  State or county government 
designation as a colonia  — c — 
Date  Colonia must have existed before a 
certain dated Nov. 28, 1990  Oct. 1, 1989  Nov. 28, 1990  
 = Colonia eligibility requirement; — = Not a colonia eligibility requirement. 
Source: GAO analysis of  statutes, regulations, and information from the Department of Housing and Urban Development (HUD) and the U.S. Department of Agriculture (USDA).  |  GAO -24-106732  
aEligible areas include the entire county where more than half of the area of the county is within 150 
miles of the U.S.-Mexico border. Additionally, the definition of a colonia in 7 C.F.R. § 1777.4 does not 
specifically require the community be located in Arizona, California, New Mexico, or Texas. 
bThe statutes governing HUD’s CDBG colonias set-aside and USDA’s Single Family Housing require 
that a community be determined a colonia on the basis of objective criteria, which include but are not limited to the infrastructure conditions identified here.",
50,"[-0.02797017  0.33410862  0.17875929 ...  0.03907888 -0.50872326
 -0.00981272]","that a community be determined a colonia on the basis of objective criteria, which include but are not limited to the infrastructure conditions identified here. 
cColonias eligible for USDA Water and Environmental programs can also be designated as colonias 
by a federally recognized Tribe. 
dNov. 28, 1990 was the date of enactment of the Cranston-Gonzalez National Affordable Housing Act, 
Pub. L. No. 101-625, which is the date used in the statutory definitions of a colonia for the HUD CDBG program and USDA Single Family Housing programs. 42 U.S.C. § 5306 note, 42 U.S.C. § 1479(f)(8). USDA’s Water and Environmental programs use a different date as part of the definition of a colonia. 7 C.F.R. § 1777.4. 
 
Eligibility requirements differ across the targeted programs due to 
differences in statutory and regulatory definitions of a colonia; however, 
the definitions of a colonia do have some similarities. For example, HUD ’s 
CDBG colonias set-aside and USDA ’s Single Family Housing programs 
both require colonias to be located within a metropolitan statistical area",
51,"[ 0.45403209  0.26755637  0.04172639 ...  0.11549808 -0.36849281
 -0.13980886]","[Extract from GAO_PDF_20241020_220257.pdf - Page 40]
 
     
Page 35  GAO -24-106732  Colonias Communities  (MSA) with a population of 1 million or less.44 In contrast, there are no 
MSA -related population requirements in the colonia definition used by 
USDA ’s two Water and Environmental programs.45 
USDA did not have reliable information on actual obligations to colonias 
through its Single Family Housing programs, as noted above.46 To 
determine why this information was unreliable, we reviewed USDA ’s 
processes to identify, record, and track assistance provided to colonias 
and found areas for improvement. 
USDA does not have agency -wide or state-specific guidance that directs 
staff to identify if a Single Family Housing program loan or grant 
application is for a property in a colonia. As described above, for a 
community to meet the legal definition of a colo nia, several criteria must 
be met. One criterion is that the community must be identified as a 
“colonia” based on objective criteria, and according to USDA officials, the 
Single Family Housing program relies on state and local governments to 
make this determination. However, USDA does not have guidance for the 
Single Family Housing programs to help staff determine whether a 
community has been designated as a colonia by the state or local 
government. Rather, the agency relies on its state and field staff to use their local knowledge and professional judgment to try to discern if a 
community has been designated as a colonia by local officials , according 
to USDA officials. USDA has issued no guidance to field staff to facilitate 
this identification. In absence of guidance, USDA lacks assurance that 
applications from colonias are being consistently or correctly identified by 
staff.  
 
44To be eligible as a colonia for USDA ’s Single Family Housing set -aside for targeted 
underserved areas, the community cannot be in an MSA with a population exceeding 1 
million. However, if an applicant is not located in a colonia, as statutorily defined, and is,",
52,"[-0.1279306   0.29639754 -0.07718214 ... -0.25221378 -0.29431921
 -0.0288917 ]","underserved areas, the community cannot be in an MSA with a population exceeding 1 
million. However, if an applicant is not located in a colonia, as statutorily defined, and is, 
therefore, not eligible for the set-aside, the remaining funding for USDA Single Family 
Housing programs (i.e., the remaining 95 percent) may be available to these applicants. 
These applicants are required to meet all eligibility criteria for the program to which they 
applied, including the requirement that the project be located in a rural area as defined in 
42 U.S.C § 1490.  
45USDA ’s two Water and Environmental programs  are subject to agency regulations 
specifying that funding may go only to rural areas with a population of 10,000 or fewer 
people.   
46We determined that the obligation data from HUD for the CDBD colonias set -aside and 
from USDA for its Water and Environmental programs were reliable for the purpose of 
describing annual assistance provided to colonias for fiscal years 2020 –2023.  USDA ’s Single Family 
Housing Programs Do Not 
Have Reliable Data on 
Assistance to Colonias  
Identifying and Recording 
Applications from Colonias",
53,"[ 0.22764774  0.2261814   0.26132721 ... -0.27165043  0.26362363
  0.02272207]","[Extract from GAO_PDF_20241020_220257.pdf - Page 41]
 
     
Page 36  GAO -24-106732  Colonias Communities  Further, while USDA ’s system for processing loans and grants has a field 
for staff to record if an application is from a colonia, USDA officials told us 
that staff do not consistently use this feature. For this reason, USDA ’s 
loan and grant applications are not consistently identified or recorded as being from colonias. As a result, USDA is not collecting reliable data on 
the extent to which colonias have been assisted and may not be capable 
of ensuring that the agency is ful filling the set-aside and priori ty for 
colonias.  
USDA ’s Strategic Plan for fiscal years 2022– 2026 states that the agency 
will implement  and administer programs in a way that increases access 
and program participation for underserved communities.
47 It also states 
that USDA will use data to understand who benefits from its programs 
and to ensure that its investments are directed to persistently poor, 
socially vulnerable, or high-need places. Furthermore, USDA is required 
to prioritize set-aside fundi ng for any application for assistance that 
services residents of colonias and will be used in, or in close proximity to, 
these communities located in eligible states.  
Although USDA has indicated that the level of funding received annually 
has been sufficient to fund all applications for colonias, therefore enabling 
USDA to meet its statutory obligations, there is no guarantee that funding 
will remain at such levels. By developing procedures that direct staff to 
identify and record whether Single Family Housing program applications 
are for properties located in colonias, USDA would have greater assurance that its programs are making investments in colonias in 
keeping with  the agency ’s goals to assist high-need places. Furthermore, 
such a process would help USDA ensure it is meeting its statutory 
directive to prioritize funding for projects in colonias as part of the set-
aside for targeted underserved areas. 
USDA has not been tracking the extent of its assistance to colonias 
through the Direct Home Loan and Home Repair Loans and Grants",
54,"[ 0.11329475  0.19260606 -0.21563451 ... -0.48297349  0.03139283
 -0.21501575]","aside for targeted underserved areas. 
USDA has not been tracking the extent of its assistance to colonias 
through the Direct Home Loan and Home Repair Loans and Grants 
programs. For example, USDA officials initially provided us with data that showed a steep decline in obligations to colonias through these programs 
from fiscal years 2020 through 2023. When asked to provide a reason for 
the decline, USDA officials determined that the data, which were from their loan and grant origination system, were incorrect and likely 
 
47As part of its 2022 –2026 Strategic Plan’ s Goal 5, USDA lists reducing barriers to access 
as a priority for improving the quality of life in rural and tribal communities. U.S. 
Department of Agriculture, Strategic Plan Fiscal Years 2022 –2026 (Washington, D.C.: 
March 2022).  Tracking Assistance to 
Colonias",
55,"[ 0.16639069  0.02698008 -0.19892697 ... -0.20915827  0.33380708
 -0.18040046]","[Extract from GAO_PDF_20241020_220257.pdf - Page 42]
 
     
Page 37 GAO -24-106732  Colonias Communities  undercounted obligations to colonias. They also told us that staff do not 
consistently record whether applications were for properties in colonias, as discussed above. Because USDA could not use its origination system 
to reliably account for loans and grants to colonias, the agency produced 
estimated obligations to colonias, which were four times higher compared with the data they initially provided.  
USDA ’s Strategic Plan for fiscal years 2022– 2026 states that the agency 
will use data to understand who benefits from USDA programs and 
services.
48 However, USDA ’s lack of awareness of its data reliability 
issues for these programs indicates that the agency has not been using 
its data to track the extent of its assistance to colonias and manage the 
programs. Although USDA officials indicated that they met their statutory requirements related to colonias, the agency lacks a process for using 
data to ensure that it is meeting its objectives. Without such a process, 
USDA cannot understand the extent to which its programs are benefiting colonias.  
 
 
  
 
 
Colonias face several challenges in both accessing and subsequently 
using federal assistance.
49 These challenges relate to the characteristics 
of colonias, project costs and requirements, and local government 
 
48As part of its 2022 –2026 Strategic Plan’s Goal 5, USDA lists investing in underserved 
communities as a priority for improving the quality of life in rural and tribal communities. 
Using data to understand who benefits from USDA programs and services is an approach to ensure that USDA investments and services are directed to persistently poor, socially vulnerable, or high-need places. U.S. Department of Agriculture, Strategic Plan. 
49The observations in this section are based on our site visits to all four border states 
where we visited colonias that had been defined as such according to USDA ’s or HUD’s 
definitions.   Colonias Face 
Challenges in 
Obtaining and Using 
Federal Assistance, and Many May Soon 
Become Ineligible",
56,"[ 0.4694857   0.08124304 -0.14698212 ... -0.26184458 -0.07339542
 -0.35832691]","definitions.   Colonias Face 
Challenges in 
Obtaining and Using 
Federal Assistance, and Many May Soon 
Become Ineligible  
Challenges Relate to the 
Characteristics of 
Colonias, Project Costs, 
and Capacity Issues",
57,"[ 0.00371953  0.40096012  0.05086241 ...  0.10111002 -0.20161846
 -0.35660902]","[Extract from GAO_PDF_20241020_220257.pdf - Page 43]
 
     
Page 38  GAO -24-106732  Colonias Communities  capacity. Not all of these problems are unique to colonias, and many are 
consistent with problems faced by rural communities more generally.  
Rural or remote areas. Colonias are often located in rural areas that are 
far away from existing infrastructure, particularly water and wastewater infrastructure. As a result, it may not be cost effective to connect them to 
existing infrastructure. Studies have shown that for m any colonias, private 
wells and on -site wastewater treatment are necessary.
50 Advocacy 
groups and some local officials also told us that because of the 
remoteness, contractors may not be willing or able to work in these areas, which can increase costs. 
For example, during a site visit near El Paso, Texas, we visited a colonia 
located approximately 10 miles from existing water and wastewater 
infrastructure. Local officials told us that connecting the community to 
existing services was unlikely ever to be cost -effective. We also visited a 
New Mexico colonia that relied solely on wells for its water because it was 
separated from existing water infrastructure by a mountain range. 
Language barrier and lack of trust in government. In most areas with 
colonias, residents are overwhelmingly of Hispanic origin, and many 
speak Spanish as their primary language. L ocal officials in all four states 
told us that residents may face difficulties in communicating their needs to 
government officials. They also may be concerned about potential negative effects from interacting with the government, such as adverse actions against undocumented family members. 
Competing needs. A 2015 report by the Rural Community Assistance 
Partnership found that many communities had multiple competing 
infrastructure needs, including for housing and adequate water and 
wastewater services.
51 In addition, according to advocacy organizations, 
colonias often lack the resources or expertise to apply for funding 
themselves, so county governments typically take the lead. According to 
local officials, the county often must prioritize which among its  colonias it 
will help apply for funding and administer projects.",
58,"[ 0.29952204  0.26502109  0.336523   ... -0.40268576 -0.107677
 -0.34774998]","themselves, so county governments typically take the lead. According to 
local officials, the county often must prioritize which among its  colonias it 
will help apply for funding and administer projects. 
 
50For example, see Rural Community Assistance Partnership, U.S. -Mexico Border Needs 
Assessment  (2015), and U.S. Department of Agriculture and Environmental Protection 
Agency, U.S. Mexico Border Needs Assessment  (2014).  
51Rural Community Assistance Partnership, U.S. -Mexico Border Needs Assessment  
(2015).  Characteristics of Colonias",
